label,text_length,text_length_char,text_punctuation,text_avg_word_length,text_avg_sentence_length,text_sentiment,text_emoji_count,text_count_verbs,text_count_adjectives,text_count_adverbs,text_count_pronouns,text_count_nouns,text_no_stopword_Ratio,text_stopword_ratio,text_stopword_to_nostopword_ratio,text_entired_capitalized_ratio,text_punctuation_ratio,text_spelling_error_quota,text_modal_verb_ratio,text_uncertain_ratio,text_individual_count,text_group_count,text_self_count,text_individual_ratio,text_group_ratio,text_self_ratio,text_exclamation_mark_count,text_exclamation_mark_ratio,text_topic_0,text_topic_1,text_topic_2,text_topic_3,text_topic_4,text_topic_5,text_topic_6,text_topic_7,text_topic_8,text_topic_9
1,34,179,9,4.235294117647059,8.5,2,0,5,3,1,6,7,0.6046511627906976,0.3953488372093023,0.6538461538461539,0.0,0.1853354978354978,0.0285714285714285,0.0,0.0,0,1,0,0.0,0.0232558139534883,0.0,4,0.1176470588235294,0.0,0.1980484724044799,0.0,0.0,0.0,0.0,0.0,0.0,0.751930296421051,0.0
1,113,611,16,4.398230088495575,14.125,0,1,10,9,2,9,31,0.5859375,0.4140625,0.7066666666666667,0.0,0.1481580790210821,0.0176991150442477,0.0,0.0,0,1,0,0.0,0.0078125,0.0,2,0.0176991150442477,0.0,0.0,0.1488742679357528,0.0,0.0,0.0,0.0166891012340784,0.8207001090049744,0.0,0.0
0,11,56,1,4.181818181818182,11.0,2,0,3,3,0,0,3,0.8333333333333334,0.1666666666666666,0.1999999999999999,0.0,0.0833333333333333,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0111165465787053,0.0111173437908291,0.0111136697232723,0.0111144818365573,0.0111138559877872,0.0111149288713932,0.011114046908915,0.0111146550625562,0.8999660611152649,0.0111144129186868
0,62,333,5,4.370967741935484,20.66666666666667,1,0,7,4,0,0,18,0.5606060606060606,0.4393939393939394,0.7837837837837839,0.0,0.1178434592227695,0.032258064516129,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9639843106269836
0,99,594,16,4.97979797979798,11.0,2,0,9,11,7,6,31,0.6460176991150443,0.3539823008849557,0.547945205479452,0.0,0.1158702408702408,0.01,0.0136986301369863,0.0,3,0,0,0.0265486725663716,0.0,0.0,0,0.0,0.0,0.0,0.0,0.98234224319458,0.0,0.0,0.0,0.0,0.0,0.0
1,22,123,4,4.545454545454546,11.0,2,0,2,7,0,0,5,0.5384615384615384,0.4615384615384615,0.8571428571428572,0.0,0.1704545454545454,0.0,0.0714285714285714,0.0,0,0,0,0.0,0.0,0.0,2,0.0909090909090909,0.0111155277118086,0.0111161721870303,0.0111159374937415,0.8999563455581665,0.0111151710152626,0.0111161628738045,0.011115288361907,0.0111158862709999,0.011117179878056,0.0111163137480616
1,19,101,3,4.157894736842105,6.333333333333333,2,0,2,0,2,2,5,0.5909090909090909,0.4090909090909091,0.6923076923076923,0.0,0.1402116402116402,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0100038107484579,0.010003981180489,0.0100033869966864,0.0100031150504946,0.0100027555599808,0.0100033655762672,0.9099688529968262,0.0100040473043918,0.0100039262324571,0.0100027807056903
1,163,907,26,4.52760736196319,14.81818181818182,0,0,14,8,3,13,54,0.5380434782608695,0.4619565217391304,0.8585858585858587,0.0122699386503067,0.1059597572010353,0.0121212121212121,0.0,0.0,1,1,0,0.0054347826086956,0.0054347826086956,0.0,0,0.0,0.0,0.0,0.9878292679786682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,33,185,4,4.636363636363637,11.0,2,3,1,7,1,4,9,0.5945945945945946,0.4054054054054054,0.6818181818181818,0.0,0.1071225071225071,0.1212121212121212,0.0,0.0,1,0,0,0.027027027027027,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9499626159667968,0.0,0.0
0,60,313,9,4.233333333333333,12.0,2,0,7,6,2,8,13,0.5,0.5074626865671642,1.014925373134328,0.0166666666666666,0.0767322383498854,0.0476190476190476,0.0,0.0,1,1,0,0.0147058823529411,0.0147058823529411,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.965367078781128,0.0,0.0,0.0,0.0
